 	non	ho	cosa	a	fare	</S>
e	0.77637655	0.007450645	0.027133333	0.028587973	0.00030937468	0.16014203
n	0.0047213347	0.0550555	0.8749248	0.06516517	8.72708e-05	4.5842575e-05
è	0.00192732	0.13580696	0.00575386	0.10342937	0.7184671	0.03461527
c	0.014823381	0.8772773	0.06537919	0.041756116	0.0004414415	0.00032256148
h	0.0023988914	0.11123042	0.48743597	0.3774766	0.008944108	0.012513852
o	0.18235697	0.6403149	0.09529219	0.07920769	0.0027087396	0.000119541815
t	0.061268218	0.42949057	0.066483766	0.4284719	0.00998524	0.004300176
i	0.04576117	0.12656681	0.06384809	0.08563593	0.021209368	0.6569786
k	0.010088243	0.14448777	0.0912826	0.70331883	0.037043814	0.013778772
à	0.002165426	0.006830745	0.017142408	0.019953707	0.0003674488	0.9535402
i	0.0007572393	0.0012652808	0.0011292531	0.016009826	0.97781676	0.0030216074
</S>	0.0012667923	0.0041319556	0.004406659	0.085970394	0.003483453	0.9007408
