 	se	si	era	vestito	il	mio	fratello	l	avessi	portato	con	me	</S>
a	0.000173185	0.000140738	0.000129188	0.000226657	0.000209564	0.0170129	0.0102257	0.02789	0.00299384	0.0184323	0.10252	0.468525	0.35152
n	0.686112	0.258082	0.0536629	0.00210725	1.65356e-05	3.22569e-06	9.08732e-06	1.23288e-07	5.87382e-06	1.22072e-06	1.39548e-08	1.71723e-10	5.62294e-10
ì	0.0115183	0.178518	0.270103	0.512354	3.88108e-05	0.00020127	0.00642512	8.01532e-06	0.0196096	0.00118799	2.90676e-05	2.16518e-06	4.20384e-06
c	0.616515	0.276661	0.089326	0.0168013	0.00013422	0.000165296	0.000239749	5.06712e-06	0.000120268	3.20861e-05	1.02216e-07	3.2197e-10	6.29424e-10
h	0.0221756	0.470391	0.0325833	0.189367	0.00140835	0.0265653	0.0494292	0.00291845	0.169011	0.0331862	0.0020709	0.000831497	6.23642e-05
e	0.018261	0.11741	0.655374	0.156301	0.0112359	0.022595	0.00278306	0.00454744	0.00825482	0.00322463	6.78671e-06	2.32288e-07	5.74665e-06
n	0.00377094	0.091418	0.336581	0.528058	3.99383e-05	6.0646e-05	0.00320879	1.88368e-05	0.0342214	0.00260625	1.22985e-05	1.34998e-06	2.55459e-06
d	0.000145643	0.0142253	0.102167	0.416702	0.000569231	0.00394284	0.0647823	0.00103632	0.372609	0.0200296	0.00135377	0.00224338	0.000194051
i	0.0110822	0.0579937	0.270341	0.124221	0.0434876	0.382575	0.0200562	0.0665278	0.0157953	0.00785515	6.32745e-05	1.61536e-06	1.97131e-07
s	0.00275167	0.0703992	0.179193	0.645549	0.000680548	0.00123601	0.00716049	0.000450315	0.0794196	0.0129335	0.000185901	2.00859e-05	2.02923e-05
ò	0.000258043	0.0132005	0.0865528	0.465081	0.00108164	0.0360157	0.192888	0.00488617	0.105332	0.0799708	0.0117742	0.00255027	0.000408912
n	0.00580494	0.108743	0.0881177	0.704503	0.000366634	0.00235207	0.019787	0.000384187	0.0481002	0.0216133	0.000224096	2.90661e-06	7.89317e-07
t	3.53808e-06	0.000679205	0.00806837	0.0309709	0.000778794	0.0207581	0.0818641	0.00952396	0.794884	0.0284756	0.00556906	0.0176796	0.00074465
a	0.000457475	0.0026572	0.0102109	0.0108639	0.0259401	0.598632	0.0302917	0.282429	0.0030652	0.0341181	0.00131667	1.5147e-05	1.73042e-06
o	0.00050354	0.0245363	0.057984	0.488688	0.000122649	0.000943661	0.0438525	0.000430062	0.259828	0.116096	0.00625715	0.000665654	9.22075e-05
a	3.26251e-05	0.0110993	0.0107033	0.0936953	0.00115641	0.00843639	0.0672404	0.00297014	0.734306	0.0587808	0.0111739	0.000239083	0.000166154
d	0.000127952	0.0286209	0.0273965	0.21756	0.000403601	0.00482843	0.103415	0.00132517	0.531125	0.0717742	0.0128884	0.000274778	0.000260269
